polygonName,polygonPoints,description,size,JSON
Ceskoslovenskej Armady 48-1,18.761708;48.736246;398-18.761741;48.736241;398-18.761773;48.736402;397-18.76184;48.736748;397-18.761969;48.737189;398-18.761939;48.737199;398-18.761773;48.736559;397-18.761725;48.736327;397,,213,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.761708,48.736246,398], [18.761741,48.736241,398], [18.761773,48.736402,397], [18.76184,48.736748,397], [18.761969,48.737189,398], [18.761939,48.737199,398], [18.761773,48.736559,397], [18.761725,48.736327,397] ]]}"
Prievidzska 81 - 1,18.761261;48.736602;399-18.761264;48.736541;399-18.76076;48.736575;400-18.760189;48.736642;401-18.759918;48.73666;402-18.759738;48.736646;402-18.75969;48.736649;402-18.759687;48.736674;402-18.759824;48.736695;402-18.759971;48.736683;402-18.760202;48.736676;401-18.760245;48.736679;401-18.760419;48.73666;401-18.760636;48.736617;400-18.760846;48.736605;400-18.761012;48.736596;399-18.761127;48.736602;399-18.761189;48.736626;399,,502,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.761261,48.736602,399], [18.761264,48.736541,399], [18.76076,48.736575,400], [18.760189,48.736642,401], [18.759918,48.73666,402], [18.759738,48.736646,402], [18.75969,48.736649,402], [18.759687,48.736674,402], [18.759824,48.736695,402], [18.759971,48.736683,402], [18.760202,48.736676,401], [18.760245,48.736679,401], [18.760419,48.73666,401], [18.760636,48.736617,400], [18.760846,48.736605,400], [18.761012,48.736596,399], [18.761127,48.736602,399], [18.761189,48.736626,399] ]]}"
Prievidzska 81 - 2,18.761264;48.736499;399-18.761267;48.736449;399-18.760765;48.73651;400-18.760484;48.736533;400-18.760113;48.736571;401-18.759939;48.736593;402-18.759829;48.736626;402-18.759792;48.73663;402-18.759931;48.736632;402-18.760132;48.736614;401-18.760272;48.736589;401-18.760387;48.736582;401-18.760529;48.736566;400-18.760698;48.736548;400-18.760832;48.736541;400-18.761058;48.736522;399-18.761194;48.736504;399,,459,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.761264,48.736499,399], [18.761267,48.736449,399], [18.760765,48.73651,400], [18.760484,48.736533,400], [18.760113,48.736571,401], [18.759939,48.736593,402], [18.759829,48.736626,402], [18.759792,48.73663,402], [18.759931,48.736632,402], [18.760132,48.736614,401], [18.760272,48.736589,401], [18.760387,48.736582,401], [18.760529,48.736566,400], [18.760698,48.736548,400], [18.760832,48.736541,400], [18.761058,48.736522,399], [18.761194,48.736504,399] ]]}"
Morovnianska cesta - 1,18.758386;48.736823;404-18.758783;48.736766;405-18.759226;48.736724;404-18.759502;48.736695;403-18.759714;48.736729;403-18.759765;48.736731;403-18.759478;48.736745;404-18.759126;48.73677;404-18.75874;48.736798;405-18.758547;48.736835;404-18.758469;48.736851;406,,362,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.758386,48.736823,404], [18.758783,48.736766,405], [18.759226,48.736724,404], [18.759502,48.736695,403], [18.759714,48.736729,403], [18.759765,48.736731,403], [18.759478,48.736745,404], [18.759126,48.73677,404], [18.75874,48.736798,405], [18.758547,48.736835,404], [18.758469,48.736851,406] ]]}"
Morovnianska cesta - 2,18.756106;48.737419;409-18.756914;48.737102;407-18.757442;48.736904;407-18.757764;48.736853;405-18.758016;48.736846;405-18.75823;48.73684;405-18.75837;48.736826;404-18.75837;48.736814;404-18.758166;48.73683;405-18.757858;48.736837;405-18.757538;48.736874;405-18.757265;48.736955;406-18.756675;48.737182;407-18.756136;48.737385;409,,245,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.756106,48.737419,409], [18.756914,48.737102,407], [18.757442,48.736904,407], [18.757764,48.736853,405], [18.758016,48.736846,405], [18.75823,48.73684,405], [18.75837,48.736826,404], [18.75837,48.736814,404], [18.758166,48.73683,405], [18.757858,48.736837,405], [18.757538,48.736874,405], [18.757265,48.736955,406], [18.756675,48.737182,407], [18.756136,48.737385,409] ]]}"
Okruzna 8,18.755462;48.738742;419-18.755792;48.738719;420-18.755865;48.738503;419-18.75546;48.738551;419-18.755454;48.738707;419,,607,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755462,48.738742,419], [18.755792,48.738719,420], [18.755865,48.738503,419], [18.75546,48.738551,419], [18.755454,48.738707,419] ]]}"
Okruzna vencovisko,18.750677;48.73752;423-18.750956;48.738114;426-18.751292;48.738436;427-18.751782;48.738781;428-18.752236;48.738998;427-18.752584;48.739032;424-18.75296;48.739014;422-18.753169;48.739023;421-18.753365;48.739048;421-18.753521;48.739062;420-18.753679;48.73914;421-18.753891;48.739143;421-18.754057;48.739135;421-18.754325;48.739113;420-18.754548;48.739103;421-18.754714;48.739105;421-18.754883;48.739071;420-18.755159;48.739018;421-18.755315;48.738959;421-18.755296;48.738921;420-18.755095;48.738988;419-18.754813;48.739044;420-18.754679;48.739069;420-18.754529;48.739062;420-18.754285;48.739083;420-18.754062;48.739097;420-18.753872;48.739105;420-18.753703;48.739101;420-18.753588;48.739048;420-18.753459;48.739013;421-18.753242;48.739004;421-18.753097;48.738982;421-18.752794;48.738977;423-18.752525;48.738975;425-18.752351;48.738963;426-18.75223;48.738933;426-18.751965;48.738795;427-18.75152;48.738489;427-18.751278;48.738301;426-18.751061;48.738094;425-18.75093;48.73788;423-18.75072;48.737513;424,! Upravit !,2427,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.750677,48.73752,423], [18.750956,48.738114,426], [18.751292,48.738436,427], [18.751782,48.738781,428], [18.752236,48.738998,427], [18.752584,48.739032,424], [18.75296,48.739014,422], [18.753169,48.739023,421], [18.753365,48.739048,421], [18.753521,48.739062,420], [18.753679,48.73914,421], [18.753891,48.739143,421], [18.754057,48.739135,421], [18.754325,48.739113,420], [18.754548,48.739103,421], [18.754714,48.739105,421], [18.754883,48.739071,420], [18.755159,48.739018,421], [18.755315,48.738959,421], [18.755296,48.738921,420], [18.755095,48.738988,419], [18.754813,48.739044,420], [18.754679,48.739069,420], [18.754529,48.739062,420], [18.754285,48.739083,420], [18.754062,48.739097,420], [18.753872,48.739105,420], [18.753703,48.739101,420], [18.753588,48.739048,420], [18.753459,48.739013,421], [18.753242,48.739004,421], [18.753097,48.738982,421], [18.752794,48.738977,423], [18.752525,48.738975,425], [18.752351,48.738963,426], [18.75223,48.738933,426], [18.751965,48.738795,427], [18.75152,48.738489,427], [18.751278,48.738301,426], [18.751061,48.738094,425], [18.75093,48.73788,423], [18.75072,48.737513,424] ]]}"
Okruzna 20,18.753261;48.73883;420-18.753441;48.738886;419-18.75346;48.738927;420-18.753677;48.738996;419-18.754122;48.738975;419-18.754015;48.738934;419-18.753961;48.738922;419-18.753752;48.738883;419-18.753594;48.738832;419-18.753363;48.73874;420-18.753283;48.738819;420,,659,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.753261,48.73883,420], [18.753441,48.738886,419], [18.75346,48.738927,420], [18.753677,48.738996,419], [18.754122,48.738975,419], [18.754015,48.738934,419], [18.753961,48.738922,419], [18.753752,48.738883,419], [18.753594,48.738832,419], [18.753363,48.73874,420], [18.753283,48.738819,420] ]]}"
Okruzna 29,18.752048;48.737147;430-18.75193;48.737264;427-18.751906;48.737407;424-18.752024;48.737411;424-18.75208;48.73736;426-18.752171;48.737229;430-18.752072;48.737163;430,,337,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.752048,48.737147,430], [18.75193,48.737264,427], [18.751906,48.737407,424], [18.752024,48.737411,424], [18.75208,48.73736,426], [18.752171,48.737229,430], [18.752072,48.737163,430] ]]}"
Morovnianska 3 - 3,18.755593;48.736605;416-18.755797;48.736587;415-18.755797;48.736571;415-18.755735;48.736562;415-18.755622;48.736587;415,,34,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755593,48.736605,416], [18.755797,48.736587,415], [18.755797,48.736571,415], [18.755735,48.736562,415], [18.755622,48.736587,415] ]]}"
